"#careor, careri, caritus sum  V (2nd) DEP                                                            [BXXAS] :: be without/absent from/devoid of/free from; miss; abstain from, lack, lose;"
"#circumtueor, circumtueri, circumtutus sum  V (2nd) DEP                                              [XXXFO] :: look around;"
"#clueor, clueri, -  V (2nd) DEP                                                                      [XXXCO] :: be called, be named, be reputed/spoken of/said to be; be reckoned as existing;"
"#commereor, commereri, commeritus sum  V (2nd) DEP                                                   [XXXCO] :: merit fully, deserve, incur, earn (punishment/reward); be guilty of, perpetuate;"
"#commisereor, commisereri, commiseritus sum  V (2nd) DEP                                             [XXXEO] :: pity; excite compassion; show pity at;"
"#confiteor, confiteri, confessus sum  V (2nd) DEP                                                    [XXXBO] :: confess (w/ACC), admit, acknowledge, reveal, disclose; concede, allow; denote;"
"#conmereor, conmereri, conmeritus sum  V (2nd) DEP                                                   [XXXCO] :: merit fully, deserve, incur, earn (punishment/reward); be guilty of, perpetuate;"
"#contueor, contueri, contuitus sum  V (2nd) DEP                                                      [XXXCO] :: look at/gaze on/behold; see to; be in sight of, have view of; contemplate/weigh;"
"#demereor, demereri, demeritus sum  V (2nd) DEP                                                      [XXXCO] :: oblige/please, win favor of; earn/merit, deserve (well of); lay under obligation"
"#diffiteor, diffiteri, -  V (2nd) DEP                                                                [XXXCO] :: disavow, deny;"
"#emereor, emereri, emeritus sum  V (2nd) DEP                                                         [XXXBO] :: earn, obtain by service, merit, deserve; emerge; complete/serve out one's time;"
"#fateor, fateri, fassus sum  V (2nd) DEP                                                             [XXXAX] :: admit, confess (w/ACC); disclose; acknowledge; praise (w/DAT);"
"#intueor, intueri, intuitus sum  V (2nd) DEP                                                         [XXXAX] :: look at; consider, regard; admire; stare;"
"#liceor, liceri, licitus sum  V (2nd) DEP                                                            [XXXCO] :: bid on/for, bid, bid at auction; make a bid;"
"#medeor, mederi, -  V (2nd) DEP                                                                      [XXXDX] :: heal, cure; remedy, assuage, comfort, amend;"
"#mereor, mereri, meritus sum  V (2nd) DEP                                                            [XXXAO] :: earn; deserve/merit/have right; win/gain/incur; earn soldier/whore pay, serve;"
"#misereor, misereri, miseritus sum  V (2nd) DEP                                                      [XXXBO] :: pity, feel pity; show/have mercy/compassion/pity for (w/GEN);"
"#misereor, misereri, misertus sum  V (2nd) DEP                                                       [DXXCO] :: pity, feel pity; show/have mercy/compassion/pity for (w/GEN);"
"#obtueeor, obtueeri, obtueitus sum  V (2nd) DEP                                                      [XXXDS] :: gaze at; perceive;"
"#polliceor, polliceri, pollicitus sum  V (2nd) DEP                                                   [XXXBX] :: promise;"
"#profiteor, profiteri, professus sum  V (2nd) DEP                                                    [XXXBX] :: declare; profess;"
"#promereor, promereri, promeritus sum  V (2nd) DEP                                                   [XXXDX] :: deserve, merit; deserve well of; earn; gain;"
"#reor, reri, ratus sum  V (2nd) DEP                                                                  [XXXAX] :: think, regard; deem; suppose, believe, reckon;"
"#revereor, revereri, reveritus sum  V (2nd) DEP                                                      [XXXDX] :: respect, stand in awe of, honor, fear; reverence, revere, venerate;"
"#subvereor, subvereri, subveritus sum  V (2nd) DEP                                                   [XXXFO] :: be somewhat afraid/fearful/apprehensive; be rather anxious (Cas);"
"#taedeor, taederi, taesus sum  V (2nd) DEP                                                           [EXXEP] :: be sad; be tired/weary/sick (of);"
"#tueor, tueri, tuitus sum  V (2nd) DEP                                                               [XXXAX] :: see, look at; protect, watch; uphold;"
"#tueor, tueri, tutus sum  V (2nd) DEP                                                                [XXXDX] :: see, look at; protect, watch; uphold;"
"#vereor, vereri, veritus sum  V (2nd) DEP                                                            [XXXDX] :: revere, respect; fear; dread;"
